y,y (observed),out of bag mean,out of bag standard deviation,normalized residual
4.0,4.0,39.1192,17.336409403333782,2.0257481917360924
1.0,1.0,9.482631578947368,9.89465559565997,0.857294273351773
45.0,45.0,38.211320450885665,12.748690486718685,-0.5325001462845644
16.0,16.0,7.081333333333333,4.483141224420131,-1.9893789243322901
6.4,6.4,31.640303030303034,20.901770295068378,1.2075677167047567
65.75,65.75,54.910014245014246,29.526143073894545,-0.36713178988047024
50.0,50.0,42.716,13.275311672424118,-0.5486876828007394
50.0,50.0,44.69258241758242,15.212898726955656,-0.34887615290657215
0.33,0.33,17.41574074074074,13.750332422814065,1.2425692859899653
50.2,50.2,32.092000000000006,22.81614322506472,-0.7936485943911596
65.0,65.0,50.67368421052632,11.852277891952676,-1.2087394440186725
4.0,4.0,19.035555555555558,15.171958609300516,0.9910095290095675
9.0,9.0,6.659411764705883,5.974300660525293,-0.3917761037303268
1.925,1.925,20.134126984126983,19.03877948658013,0.9564230205492981
16.8,16.8,20.476470588235294,14.612046802714048,0.25160544842714466
1.1,1.1,25.135829903978046,15.48683809666369,1.5520166062274554
20.0,20.0,20.168939393939397,15.466516398639335,0.010922911765331916
18.2,18.2,16.15,6.120586487205979,-0.3349352230027578
1.0,1.0,29.062962962962963,17.792503783424944,1.5772351831171576
6.6,6.6,11.19047619047619,15.598243002399492,0.29429444007059213
75.0,75.0,18.42342592592593,18.225365648071495,-3.1042764884149627
23.0,23.0,20.0,9.240741547507218,-0.3246492702535631
78.225,78.225,42.82361111111112,29.131789049984867,-1.215215063796683
5.8,5.8,36.25202426564496,25.47476448090274,1.1953800117945526
16.0,16.0,23.8424,18.039005026146352,0.4347468160595863
60.0,60.0,51.32666666666667,18.609117775107343,-0.46607977004344053
14.6,14.6,47.73928571428572,14.98326121866327,2.2117538518922144
3.4,3.4,21.606428571428573,19.71168505007189,0.9236363367809681
50.0,50.0,34.91875,18.3424541705847,-0.8222045894046933
45.3,45.3,38.21520089285715,16.63507272337671,-0.42589528912529606
21.0,21.0,21.24791666666667,20.224195149484796,0.012258419424566527
7.5,7.5,5.641666666666666,9.298476577733936,-0.19985352630594194
30.0,30.0,49.72406015037595,24.990841316761166,0.7892515462113383
50.0,50.0,37.94695652173913,18.038313626778525,-0.6681912582098413
38.0,38.0,25.48551724137931,21.078370190825424,-0.59371206812127
75.0,75.0,19.459523809523812,21.773410499090513,-2.5508395293790165
16.5,16.5,16.688266666666667,5.350461828457221,0.03518699370311235
2.0,2.0,11.083913043478262,8.70957401062993,1.0429801770317877
3.15,3.15,13.751874999999995,17.01314637518097,0.6231578078624049
17.7,17.7,20.478571428571424,13.552569603479,0.2050217419918769
46.0,46.0,39.66111111111111,17.87900967414316,-0.35454362430690256
3.0,3.0,16.37272727272727,13.108310043929851,1.0201717252575868
1.5,1.5,16.674000000000007,10.604736756123023,1.4308700299645587
50.0,50.0,15.336923076923076,12.253075293731207,-2.828928745815419
30.0,30.0,23.272727272727273,8.9025508285778,-0.7556567613944667
5.0,5.0,38.885000000000005,15.467428425735907,2.1907326200145536
41.1,41.1,45.454761904761895,14.118914758870593,0.3084346055723508
3.35,3.35,36.939862825788744,18.498393783711947,1.8158259154027205
45.0,45.0,43.925000000000004,16.89064258156515,-0.06364470710979797
35.0,35.0,39.49545454545455,13.62118368650996,0.33003405936788904
19.0,19.0,31.48477891156463,23.62347531267067,0.5284903574229106
16.7,16.7,18.718749999999996,7.89744420683046,0.2556206726036748
40.0,40.0,37.708333333333336,15.727086507042555,-0.14571463478886956
30.0,30.0,19.63266666666667,13.306003657497369,-0.779147037697662
51.1,51.1,37.57108843537414,21.511394618379565,-0.6289183850993376
28.566666666666666,28.566666666666666,12.172222222222222,8.399898847819227,-1.9517430794658623
3.0,3.0,9.30695652173913,16.552657966947514,0.38102379293602956
14.5,14.5,16.104999999999997,6.0842743804698785,0.2637948093123383
13.3,13.3,38.222751322751314,22.24765241147853,1.120241851220787
46.0,46.0,25.7670987654321,25.785610289192764,-0.7846586141514709
35.6,35.6,22.914074074074072,19.062176746230392,-0.6655024814222548
58.0,58.0,39.67564902998235,17.790037398452167,-1.0300344265499952
53.0,53.0,23.23333333333333,17.813839693210014,-1.670985434881433
8.6,8.6,16.351111111111113,10.964520871826453,0.7069265681300988
24.0,24.0,20.314285714285713,7.595013680319004,-0.4852807961709268
45.0,45.0,26.776315789473685,22.749080374703873,-0.8010734460629174
40.3,40.3,51.56243386243387,28.557252360278838,0.3943808641092915
50.0,50.0,22.403809523809525,16.55368100338728,-1.6670727477800034
11.6,11.6,18.152173913043477,12.902320776624835,0.5078290972980664
53.0,53.0,43.01401569056741,24.801821099359987,-0.4026310918632615
63.0,63.0,8.580416666666666,5.028387656847492,-10.822471743845474
16.0,16.0,23.604375000000005,16.37587112269677,0.4643646095541402
15.7,15.7,23.255434782608695,16.78635463926277,0.4500938378209147
28.0,28.0,22.61904761904762,10.480821487250845,-0.5134094104644293
27.0,27.0,19.37393939393939,14.48960651535082,-0.526312470803212
21.9,21.9,22.757246376811594,15.46010246846796,0.055448945345609034
16.7,16.7,16.332000000000004,12.722280979971059,-0.028925630598738133
8.0,8.0,12.700000000000001,13.500370365289983,0.3481385971516676
4.2,4.2,10.650263157894738,15.247022521142737,0.42305067425133586
26.3,26.3,25.572083333333335,20.327886121450668,-0.035808773343065085
62.4,62.4,36.86748120300752,20.145500486575077,-1.2674055337571433
58.0,58.0,26.60576923076923,18.658211741338327,-1.6825959102862504
6.0,6.0,8.323809523809524,11.519023602801791,0.20173667525468916
35.9,35.9,17.265625,8.477659802434067,-2.1980564724536107
29.0,29.0,35.775000000000006,14.590186860749213,0.4643532029206723
16.5,16.5,15.16,2.777151675471008,-0.48250875594424797
50.0,50.0,35.264,16.35949978860397,-0.9007610373432748
63.857142857142854,63.857142857142854,45.511351851851856,28.388024539668457,-0.646251061945336
19.55,19.55,42.735,23.339245381974113,0.9933911581351621
18.5,18.5,21.741944444444446,18.363389393473632,0.17654390346896615
18.85,18.85,49.108365893365885,19.390989223830495,1.5604343617591185
2.0,2.0,13.2,12.05680997057956,0.9289355996594202
0.8,0.8,13.326811594202898,7.873162346324165,1.5910775166539575
32.46037037037037,32.46037037037037,21.629166666666674,27.698379000861443,-0.39104106790389564
76.1,76.1,59.30464285714287,33.45909240908817,-0.5019669074554801
5.0,5.0,12.856,8.906883106152604,0.8820144944501758
8.44,8.44,6.4214814814814805,3.2754502963523415,-0.6162568001005582
21.0,21.0,18.55757575757576,10.616903671911297,-0.2300505230056916
9.1,9.1,22.860588235294117,17.4756839889703,0.7874134279367292
9.5,9.5,15.592708333333336,9.607819163844878,0.634140612914611
50.0,50.0,55.21666666666667,19.259795174012815,0.27085784763201953
7.9,7.9,37.83154761904762,19.75870838040471,1.5148534531099014
34.6,34.6,11.306190476190476,11.414048570157073,-2.0408016822981656
26.0,26.0,14.707901234567899,11.619325088456632,-0.9718377512864651
12.3,12.3,20.427777777777777,8.07625119305568,1.0063800126432918
13.8,13.8,17.66798245614035,14.926286020849874,0.25913897474142833
70.0,70.0,38.290740740740745,24.02966930947047,-1.3195878333108038
96.2,96.2,58.28427195767195,23.318049080699296,-1.6260248836044984
9.0,9.0,28.55922619047619,22.35251218829805,0.8750348070815862
9.0,9.0,50.709090909090904,22.890940380752205,1.8220785260601131
49.3,49.3,31.692063492063486,15.00514005775353,-1.1734603236067798
1.0,1.0,15.066666666666665,7.7013563019048075,1.8265180982715343
1.7,1.7,13.793703703703702,15.207247550516106,0.7952592119994302
31.285714285714285,31.285714285714285,42.16278108465609,26.06060914812429,0.41737576958076134
13.7,13.7,16.144000000000002,10.443781243719473,0.2340148594619156
6.0,6.0,7.695199999999999,9.431237599947668,0.17974311240015894
3.0,3.0,15.42,15.877737267656897,0.7822273281533421
27.266666666666666,27.266666666666666,42.6642857142857,16.01964321858318,0.9611711595272867
7.73,7.73,8.356666666666667,4.757597163404104,0.1317191525770713
50.0,50.0,33.07083333333333,17.53643360615802,-0.9653711265853904
8.0,8.0,55.5,25.11247426352815,1.8914902411263452
37.7,37.7,70.08915070242656,17.970896789914455,1.8023113192995384
24.5,24.5,15.003225806451615,9.657932279425987,-0.9833133965723789
20.3,20.3,54.65857142857142,29.511682801370505,1.1642362673732665
3.35,3.35,15.341929824561404,15.766304506677239,0.7606049863798243
18.8,18.8,14.611851851851856,20.084755307820764,-0.20852373274955108
20.0,20.0,27.813043478260873,19.616089276357396,0.3982977120560757
2.0,2.0,11.807733333333333,8.95181099616782,1.0956144334964093
